query,query_id
"work-related death, unless he either was mentally or physically incapacitated or proved dependence on his wife’s earnings, but granted a widow death benefits without her having to prove dependence on her husband’s earnings. The Court recognized that “the statute discriminates against both men and women.” Id. at 147, 100 S.Ct. at 1543. It discriminated against widowers vis-a-vis similarly situated widows and discriminated against female wage earners vis-a-vis similarly situated male wage earners. The Court did not reject the equal protection claim simply because under the discriminatory law, some women (widows) fared better while others (wage earners) fared worse than they would have fared under a gender-neutral law. The relevant inquiry was how women fared compared to similarly situated men. See also  REDACTED Wein-berger v. Wiesenfeld, 420 U.S. 636, 651-53, 95 S.Ct. 1225, 1234-35, 43 L.Ed.2d 514 (1975). Since the use of gender-distinct tables causes the present value of the reversion-ary interests of all female decedents to be higher than the present value of the rever-sionary interests of all similarly situated male decedents and therefore increases the likelihood that the trusts created by female decedents will be included in their gross estates and consequently taxed, the use of these tables is a discrimination based on gender. Whether that discrimination is unconstitutional under the Equal Protection Clause is a different issue, to which I now turn. II. Is the Discrimination Unconstitutional? To withstand constitutional challenge under the equal",679374
"(Ct. Cl. of U. S.) 36 F.(2d) 529; decision filed December 2, 1929; Wright & Taylor, Inc. v. Robert H. Lucas, Collector (D. C.) 34 F.(2d) 328 — holding section 611 applicable. Contra, United States v. Burden, Smith & Co. (C. C. A.) 33 F.(2d) 229; Erie Coal & Coke Co. v. Heiner (D. C.) 33 F.(2d) 135; Clinton Iron & Steel Co. v. D. B. Heiner, Collector (D. C.) 30 F.(2d) 542; Franklin W. Cutcheon v. John T. Rafferty, Collector (U. S. Dist. Ct. Eastern Dist. N. Y. Law No. 3054), 34 F.(2d) 708, opinion filed July 15, 1929 (St. Fed. Tax. Ser. p. 8685);  REDACTED Fed. Tax. Ser. p. 8689). As before stated, the enactment should be viewed in the light of the conditions surrounding its enactment. There existed in the office of the collector of internal revenue at the time of the enactment, a custom under which, where a claim in abatement was filed, collection of the tax was voluntarily stayed until the matter was passed upon by the Commissioner, of Internal Revnue. This stay, of course, was voluntary, and could be violated by the collector at will. There was no way in which a legal stay could be had except that, the Revenue Act of 1918, par. 14, § 234 (40 Stat. 1079), authorized the taxpayer at the time of",644665
"verdict does not give extra weight or a presumption of validity to the defendant’s motion for acquittal. United States v. Reis, 788 F.2d 54, 56 (1st Cir.1986). Therefore, the defendant’s motion for judgment of acquittal is DENIED. B. The Motion to Dismiss the Indictment The defendant moves to dismiss the Indictment because I declared a mistrial over the defendant’s objection. He argues that a subsequent retrial would violate the Fifth Amendment of the United States Constitution because there was no manifest necessity that warranted the declaration of a mistrial. I find that there was manifest necessity for the mistrial, and I DENY the defendant’s motion to dismiss. It is within the sound discretion of the district court to declare a mistrial.  REDACTED United States v. Barbioni, 62 F.3d 5, 7 (1st Cir.1995). The district court may declare a mistrial over the defendant’s objection “if it determines that there is a ‘manifest necessity’ for a mistrial.... ” Barbioni, 62 F.3d at 7 (quoting United States v. Ramirez, 884 F.2d 1524, 1528 (1st Cir.1989)). If manifest necessity existed to declare a mistrial, the general rule that a “retrial following the ‘hung jury’ does not violate the Double Jeopardy Clause” will apply. Richardson v. United States, 468 U.S. 317, 324, 104 S.Ct. 3081, 82 L.Ed.2d 242 (1984); see also United States v. Carrillo-Figueroa, 34 F.3d 33, 39 (1st Cir.1994). Here, manifest necessity existed to warrant a mistrial. See Barbioni, 62",165386
"person would “believe that the agent is violating the orders of the principal or that the principal would not wish the agent to act under the circumstances known to the agent, he cannot subject the principal to liability.” LaRoche, 62 F.Supp.2d at 1373. The argument, therefore, is that because the racial epithet allegedly made here “at best, amounts to the possibility that a server personally refused to serve Plaintiffs!,]” (Def.’s Mem. in Supp. at 19), a reasonable person would not believe that Waffle House would approve of or otherwise facilitate the action because management was not involved. While this argument is clear on its face, the court is not persuaded because La-Roche may no longer be reliable precedent. Indeed, in  REDACTED  the Fifth Circuit reversed the district court decision upon, which the LaRoche court relied and held that managerial involvement is not necessary for liability to attach in a discrimination action. In so deciding, the Fifth Circuit observed that while limiting liability largely to the acts of supervisors is appropriate in the employment discrimination arena, the same cannot be said in the public accommodation context because of the ill effects it might have for potential plaintiffs. Specifically, the Arguello court held that, in a public accommodation case under § 1981, a rule that only actions by supervisors are imputed to the employer would result, in most cases, in a no liability rule. Unlike the employment context it is rare in a public",404944
"purposes and objectives. Narrow technicalities which proscribe or thwart its policies and purposes are not to be adopted. But it is not the function of the courts to extend by judicial fiat the provisions of the act beyond their fixed limits. United States v. Silk, 331 U.S. 704, 67 S.Ct. 1463, 91 L.Ed. 1757. The clear purpose and objective of section 202(g), supra, in its application to a case of this kind is to extend mother’s benefits to a former wife divorced whose economic relationship to the insured wage earner was such that she sustained economic loss arising out of his death. Baetich v. Hobby, 2 Cir., 212 F.2d 480, certiorari denied 348 U.S. 831, 75 S.Ct. 54;  REDACTED The appellant owned the residential property and the furnishings therein at the time of the death of the insured wage earner. She was renting two rooms in the residence. And she was using the rentals for her own support and maintenance. But all of that continued without change or interruption after the death of the wage earner. After his death, she continued to be the owner of the property, continued to rent the rooms, and continued to use the rentals for her support and maintenance. The death of the wage earner did not cause any impact upon her economic condition in respect to such property or the income therefrom. The wage earner was not making and was not under legal obligation to",43988
"void, we lack jurisdiction to address the merits of this claim. See Ellis, 894 F.2d at 373. The parties have not explained the source of further jurisdiction for this appeal. Because the district court was not exercising appellate review of a bankruptcy court decision, our common source of jurisdiction, 28 U.S.C. § 158(d), does not apply. We have recognized, however, that a court of appeals has jurisdiction under 28 U.S.C. § 1291 to review final district court orders when the district court acts other than in its appellate function. See In re Atencio, 913 F.2d 814, 815 (10th Cir.1990). As a general rule, orders granting or denying relief from an automatic stay are appealable final orders. Cf.  REDACTED 2 Collier on Bankruptcy ¶ 362.13 (Lawrence P. King 15th ed. 1994). . Bankruptcy Code § 362(d) allows a court to grant relief from the stay provided under subsection (a) of this section, such as by terminating, annulling, modifying, or conditioning such stay— (1) for cause, including the lack of adequate protection of an interest in property of such party in interest.... (Emphasis added.) . The Director argues for the first time on appeal that § 108(c) of the Bankruptcy Code suspends the period for commencing a civil action against the debtor in a nonbankruptcy court until after the termination of the automatic stay. We find this argument inapposite to",493125
"well. Courts are divided on the issue of whether the provisions of Section 1325(b), and specifically Section 1325(b)(2)(B), are incorporated into the requirements for postconfirmation plan modifications by the language of Section 1325(a)(1). Forbes v. Forbes (In re Forbes), 215 B.R. 183, (8th Cir. BAP 1997)(construing law prior to BAPCPA)(citing In re Anderson, 153 B.R. 527, 528 (Bankr.M.D.Tenn.l993))(opposing Section 1325(b)(2)(B) inclusion in plan modification requirements); In re Moss, 91 B.R. 563, 566 (Bankr.C.D.Cal. 1988)(same); In re Guentert, 206 B.R. 958, 963 (Bankr.W.D.Mo.1997)(in favor of including Section 1325(b)(2)(B) in plan modification requirements); In re Jackson, 173 B.R. 168, 171 (Bankr.E.D.Mo.1994)(same); In re Klus, 173 B.R. 51, 58 (Bankr.D.Conn. 1994)(same); In re Solis, 172 B.R. 530, 532 (Bankr.S.D.N.Y.1994)(same). See also  REDACTED . the functional equivalent of an indirect incorporation of § 1325(b)”). In affirming the Bankruptcy Court, the Bankruptcy Appellate Panel for the Eighth Circuit Court of Appeals has concluded that section 1325(b)(1)(B) “is not a factor to be considered by a court in approving postconfirmation modifications.” In re Forbes, 215 B.R. at 192. In reaching this conclusion, the Panel noted the facial omission of section 1325(b)(1)(B) from section 1329 and declined to apply section 1325(b)(1)(B) based on the theory of an inadvertent omission by Congress. Id. at 191. Moreover, the Panel recognized",602435
"""lien, or retaining lien, at an earlier date, either when he took possession of the unendorsed certificates of title, or when he took possession of the two vehicles. Those issues will be discussed in connection with the fifth element, below. . Generally, an attorney’s charging lien “allow[s] a lawyer who has represented a successful claimant to retain out of the proceeds of the suit an amount sufficient to pay the lawyer’s claimed fee. and disbursements.” Restatement (Third) of the Law Governing Lawyers § 43 cmt. d (2000). . Subsequent to the Foor decision, the use of a “retaining lien” on a client’s files has been substantially limited by Prof. Cond. Rule 1.16(d). See,  REDACTED This is one of many modem changes in the legal/ethical landscape that may make """"retaining liens” less useful to attorneys than they were in the past. One of the difficulties in this case is reconciling older case law with the current Ohio Rules of Professional Conduct. . See, Kelley Kar Co. v. Finkler, 155 Ohio St. 541, 545, 99 N.E.2d 665, 667 (1951)(""""until the.act of April 28, 1937, title to a motor vehicle was evidenced only by a bill of sale.”); State ex rel. City Loan & Sav. Co. v. Taggart, 134 Ohio St. 374, 375-376, 17 N.E.2d 758, 759 (1938)(""""Under the new law, all hens, mortgages and""",377358
"of her but inculpatory of Felton. A motion to sever is within the sound discretion of the court. United States v. De Larosa, 450 F.2d 1057 (3d Cir.1971). Antagonism, per se, between the defenses of the defendants does not require severance. United States v. Davis, 623 F.2d 188 (1st Cir.1980); United States v. Barber, 442 F.2d 517 (3d Cir. 1971). The desire of the defendants to blame each other is an insufficient reason as well. United States v. Talavera, 668 F.2d 625 (1st Cir.), cert. denied, 456 U.S. 978, 102 S.Ct. 2245, 72 L.Ed.2d 853 (1982). Severance will be granted only if a joint trial would be so prejudicial, that the defendant would be unable to obtain a fair trial.  REDACTED An antagonistic defense is sufficiently prejudicial only where the defenses are irreconcilable and mutually exclusive. United States v. Provenzano, 688 F.2d at 198-9. The defendant Bruce has not demonstrated any prejudice sufficient to warrant a severance. There is no indication that the defenses which she alleges will be presented are irreconcilable with, or mutually exclusive to, any defense that the defendant Felton intends to raise. Finally, there is no indication that the evidence is so complicated that a jury could not keep the evidence pertaining to any one defendant compartmentalized. United States v. Boscia, 573 F.2d 827 (3d Cir.), cert. denied, 436 U.S. 911, 98 S.Ct. 2248, 56 L.Ed.2d",191739
"raised her children since 1973, does far outweigh any monetary benefit to the trustee, and THE COURT, THEREFORE, SETS THIS CASE FOR FURTHER HEARING AND EVIDENCE on February 19, 1988, at 9:30 a.m. in Courtroom # 4, 500 South 22nd Street, Birmingham, Alabama, in order to make the following determinations of fact: (1) To determine the amount of the second mortgage to Peoples Bank & Trust as of the date of bankruptcy; (2) To determine whether the parties intended for Mrs. Spain to have a right of survivorship and/or a right of remainder or reversion; and (3) To determine whether Section 363(h)(3) includes the “sentimental” or emotional value of a home and not just the monetary value. (For some discussion, see  REDACTED . Judge J.D. Carl, Joint Tenants with Right of Survivorship, Alabama Bar Institute for Continuing Legal Education — Real Estate Seminar, III — 9, 10 (Oct. 23, 26, 1984). . There is some evidence that the mortgage note was 140,000 at the time of bankruptcy. . Articles in addition to Judge Carl's have been authored by: John Gillon (Joint Titles with Sur-vivorship, printed in Alabama Lawyer, 1961), W.D. Rollison and Elizabeth Davis Eshelman (Joint Ownership of Property in Alabama, printed in Alabama Lawyer, 1965), Jim Robinson (Title 47, Section 19, Alabama Code Construed to Allow Common Law Joint Tenancy When Parties Express Their Intent to Create Survivorship—Nunn Keith—Ala—, 268 So.2d 792 (1972) printed in Cumberland-Samford Law Review, 1972); also see",508562
